ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
15,427;494755;0;3,066;2
15,428;494765;0;9;2
15,429;494770;0;13;1
15,430;494781;0;1,294;1
15,431;494782;0;96;1
15,432;494805;0;19;1
15,433;494825;0;49;1
15,434;494838;0;331;1
15,435;494858;0;28;1
15,436;494907;0;32;1
15,437;494918;0;2;1
15,438;494961;0;95;1
15,439;494966;0;317;1
15,440;494980;0;231;2
15,441;494981;0;73;2
15,442;495007;0;162;1
15,443;495028;1;2,971;1
15,444;495062;0;104;2
15,445;495065;0;417;1
15,446;495073;0;718;2
15,447;495087;0;434;2
15,448;495088;0;2;2
15,449;495089;0;16;2
15,450;495090;0;1;2
15,451;495095;0;31;1
15,452;495127;0;73;2
15,453;495164;0;10;1
15,454;495190;0;134;1
15,455;495191;0;5;1
15,456;495196;0;94;1
15,457;495227;0;660;2
15,458;495240;0;194;1
15,459;495252;0;191;3
15,460;495253;0;863;8
15,461;495339;0;67;2
15,462;495343;0;223;1
15,463;495353;0;53;1
15,464;495418;0;243;2
15,465;495421;0;323;1
15,466;495422;0;22;1
15,467;495442;1;243;1
15,468;495443;1;0;1
15,469;495450;0;0;2
15,470;495514;0;89;2
15,471;495608;0;8;2
15,472;495611;0;264;1
15,473;495622;0;22;1
15,474;495623;0;10;1
15,475;495634;0;41;2
15,476;495638;0;30;1
15,477;495647;0;71;1
15,478;495648;0;41;2
15,479;495653;0;182;1
15,480;495657;0;356;1
15,481;495660;0;4;2
15,482;495677;0;4;1
15,483;495681;0;4;1
15,484;495687;0;138;1
15,485;495721;0;4;1
15,486;495722;0;106;2
15,487;495725;0;3;1
15,488;495732;0;8;1
15,489;495733;1;783;1
15,490;495734;1;25;1
15,491;495736;0;74;1
15,492;495740;0;2;1
15,493;495741;0;25;1
15,494;495752;0;84;1
15,495;495767;0;9;1
15,496;495791;1;164;1
15,497;495792;1;3;1
15,498;495797;1;164;1
15,499;495800;0;3;1
15,500;495823;0;4;2
15,501;495829;0;1;1
15,502;495842;0;58;1
15,503;495843;0;87;2
15,504;495856;0;2;2
15,505;495861;0;14;2
15,506;495873;0;4;1
15,507;495875;0;4;2
15,508;495892;0;13;1
15,509;495906;0;18;2
15,510;495911;0;92;2
15,511;495924;0;2;1
15,512;495952;0;6;1
15,513;495976;0;8,147;4
15,514;495996;0;164;1
15,515;496256;0;13;2
15,516;496338;0;281;1
15,517;496527;0;1,073;1
15,518;496545;0;248;2
15,519;496610;0;183;3
15,520;497307;0;848;1
15,521;497338;0;169;1
15,522;497341;0;363;1
15,523;497343;0;2;1
15,524;497446;0;556;1
15,525;497450;0;21;1
15,526;497464;1;0;1
15,527;497505;0;43;3
15,528;497509;0;392;1
15,529;497544;0;43;2
15,530;497557;0;174;2
15,531;497629;1;23;2
15,532;497722;0;74;1
15,533;497799;0;106;2
15,534;497804;1;0;1
15,535;497873;0;12;2
15,536;497890;0;4;1
15,537;497897;0;4;1
15,538;497940;0;10;1
15,539;497947;0;76;2
15,540;497959;0;33;2
15,541;497969;0;30;2
15,542;498016;0;5;2
15,543;498017;0;30;2
15,544;498062;0;1,234;2
15,545;498093;0;30;2
15,546;498135;0;103;1
15,547;498466;0;14;1
15,548;498467;0;2;1
15,549;498468;0;98;1
15,550;498639;0;1;2
15,551;498640;0;220;2
15,552;498727;0;166;2
15,553;498739;0;32;2
15,554;498740;0;21;2
15,555;498804;0;311;2
15,556;498859;0;304;1
15,557;498867;0;12;2
15,558;498868;0;2;2
15,559;498936;0;52;2
15,560;498952;0;79;2
15,561;498962;0;34;2
15,562;498965;0;8;2
15,563;499015;0;280;1
15,564;499021;0;35;1
15,565;499034;0;2;1
15,566;499089;0;636;1
15,567;499119;0;702;3
15,568;499167;0;48;3
15,569;499219;1;2,412;1
15,570;499227;0;34;2
15,571;499232;0;351;2
15,572;499241;0;181;2
15,573;499260;0;259;2
15,574;499303;1;510;1
15,575;499306;0;108;2
15,576;499315;0;186;2
15,577;499322;0;30;2
15,578;499326;0;151;2
15,579;499380;0;64;2
15,580;499386;0;2;2
15,581;499387;0;188;3
15,582;499485;0;119;5
15,583;499528;0;2;2
15,584;499529;0;13;2
15,585;499535;0;395;2
15,586;499574;0;896;2
15,587;499597;0;7;1
15,588;499606;0;45;2
15,589;499611;0;45;2
15,590;499676;0;222;1
15,591;499678;0;2;2
15,592;499729;0;44;2
15,593;499747;0;129;2
15,594;499834;0;1,462;2
15,595;499924;0;96;1
15,596;499927;1;1,462;1
15,597;499949;0;12;2
15,598;500013;0;655;5
15,599;500021;0;11;1
15,600;500091;0;104;1
15,601;500131;0;157;3
15,602;500247;0;5,672;2
15,603;500398;0;575;6
15,604;500503;0;63;1
15,605;500558;0;151;2
15,606;500749;0;692;1
15,607;500750;0;8;1
15,608;500832;0;46;2
15,609;500834;0;171;2
15,610;500839;0;8;1
15,611;500846;0;8;2
15,612;500849;0;290;3
15,613;500850;0;1,861;2
15,614;500870;0;312;2
15,615;500898;0;135;2
15,616;500927;0;2,965;2
15,617;500942;0;210;1
15,618;500946;0;187;2
15,619;500949;0;11;2
15,620;501027;0;4;1
15,621;501072;0;466;2
15,622;501142;0;479;3
15,623;501281;0;823;2
15,624;501375;0;187;2
15,625;501382;0;115;2
15,626;501401;0;294;1
15,627;501461;1;27;1
15,628;501467;0;192;1
15,629;501583;0;90;2
15,630;501722;0;10;2
15,631;501839;0;1,113;3
15,632;502033;0;849;1
15,633;502109;0;325;1
15,634;502110;1;51;1
15,635;502571;0;146;1
15,636;502602;0;831;1
15,637;502642;0;17;1
15,638;502659;0;70;2
15,639;502676;0;707;1
15,640;502679;0;224;1
15,641;502691;0;14;1
15,642;502703;0;49;2
15,643;502734;0;73;2
15,644;502760;0;3;2
15,645;502773;0;641;2
15,646;502784;0;79;2
15,647;502794;0;8;2
15,648;502820;0;11;2
15,649;502836;0;2;2
15,650;502840;0;9;2
15,651;502841;0;48;2
15,652;502871;0;69;1
15,653;502932;0;45;1
15,654;502984;0;34;2
15,655;502986;0;40;2
15,656;502989;0;25;2
15,657;503073;0;1;2
15,658;503074;0;58;2
15,659;503111;0;613;1
15,660;503171;0;140;1
15,661;503210;0;660;1
15,662;503270;0;28;1
15,663;503701;0;35;2
15,664;503706;0;26;1
15,665;503707;0;20;1
15,666;503720;0;63;1
15,667;503722;0;76;1
15,668;503731;0;553;1
15,669;503732;0;18;2
15,670;503751;0;65;2
15,671;503761;0;33;1
15,672;503779;1;42;1
15,673;503780;0;203;2
15,674;503782;0;42;1
15,675;503785;0;24;1
15,676;503786;0;2;2
15,677;503802;0;36;1
15,678;503803;0;19;2
15,679;503804;0;117;1
15,680;503821;0;2,287;2
15,681;503822;0;3,268;1
15,682;503824;0;223;2
15,683;503847;0;201;2
15,684;503848;0;6;2
15,685;503852;0;27;2
15,686;503868;0;4;1
15,687;503878;0;97;2
15,688;503882;0;4;2
15,689;503924;0;1;2
15,690;503932;0;85;3
15,691;503933;0;61;2
15,692;503939;0;5;2
15,693;503947;0;2;2
15,694;503950;0;2;2
15,695;503961;0;188;2
15,696;503966;1;7;1
15,697;503967;0;2,596;2
15,698;503968;0;2;2
15,699;503970;0;20;2
15,700;503987;0;6;1
15,701;503992;0;87;2
15,702;504006;0;47;2
15,703;504041;0;58;2
15,704;504096;0;28;1
15,705;504104;1;33;1
15,706;504106;0;7;2
15,707;504108;0;11;2
15,708;504112;1;33;1
15,709;504120;1;33;1
15,710;504129;0;1;2
15,711;504167;1;11;1
15,712;504175;1;7;1
15,713;504201;0;4;1
15,714;504204;0;14;2
15,715;504219;0;6;2
15,716;504593;0;1,399;2
15,717;512615;1;21;2
15,718;512616;1;63;1
15,719;512617;1;60;1
15,720;512618;1;8;1
15,721;512619;1;4;1
15,722;512620;1;21;1
15,723;512790;1;3;1
15,724;512791;1;7;1
15,725;513135;1;15;1
15,726;515550;0;925;2
15,727;516433;0;160;1
15,728;516439;0;12;1
15,729;516441;0;60;2
15,730;516469;0;7;2
15,731;516500;0;6;1
15,732;516515;0;63;1
15,733;516524;0;6;2
15,734;516531;0;154;2
15,735;516542;1;4;1
15,736;516543;0;10;2
15,737;516546;0;4;2
15,738;516547;0;11;2
15,739;516552;1;4;2
15,740;516645;0;2;2
15,741;516673;0;2;2
15,742;516688;0;8;2
15,743;516702;0;253;1
15,744;516878;0;4;2
15,745;516897;0;2;2
15,746;516899;0;173;2
15,747;517019;0;1,331;5
15,748;517129;0;50;1
15,749;517692;0;92;1
15,750;517693;0;10;1
15,751;517703;0;710;1
15,752;517705;0;4;2
15,753;517710;0;115;2
15,754;517730;0;281;1
15,755;517774;0;48;1
15,756;517808;0;2;1
15,757;517809;0;11;2
15,758;517850;0;341;2
15,759;517852;0;13;2
15,760;517858;0;177;2
15,761;517871;0;1,694;2
15,762;517920;0;239;2
15,763;517924;0;85;2
15,764;517978;0;17;1
15,765;517989;0;5;2
15,766;517998;0;2;2
15,767;518011;1;269;1
15,768;518063;0;54;2
15,769;518174;0;26;2
15,770;518190;0;2,049;3
15,771;518242;0;33;1
15,772;518259;0;94;2
15,773;518340;0;1,051;2
15,774;518414;0;76;1
15,775;518454;0;37;1
15,776;518460;0;233;2
15,777;518461;0;9;1
15,778;518472;0;4;2
15,779;518623;0;1,530;4
15,780;518708;0;0;4
15,781;519053;0;537;2
15,782;519054;0;197;4
15,783;519551;0;50;2
15,784;519558;0;5,639;2
15,785;519565;0;82;1
15,786;519595;0;112;3
15,787;519625;0;174;2
15,788;519644;0;6;2
15,789;519656;0;6;3
15,790;519694;0;3;2
15,791;519729;0;259;4
15,792;519760;0;47;2
15,793;519789;0;349;2
15,794;519797;0;227;2
15,795;519843;0;1;2
15,796;519848;0;115;2
15,797;519865;0;85;3
15,798;519866;0;6;1
15,799;519882;0;2;2
15,800;520041;0;144;1
15,801;520068;0;20;2
15,802;520083;0;2;2
15,803;520105;0;160;3
15,804;520108;0;832;5
15,805;520124;0;71;1
15,806;520209;0;15;3
15,807;520285;0;922;6
15,808;520646;0;770;5
15,809;520650;0;4,488;3
15,810;520844;0;2;2
15,811;520872;0;1,018;4
15,812;520896;0;256;1
15,813;520984;0;146;2
15,814;521119;0;568;2
15,815;521140;0;320;3
15,816;521148;0;23;5
15,817;521195;0;40;1
15,818;521313;0;573;4
15,819;521321;1;411;1
15,820;521336;0;33;1
15,821;521354;0;427;6
15,822;521377;0;859;17
15,823;521447;0;14;1
15,824;521477;0;185;3
15,825;521514;0;9;2
15,826;521762;0;273;2
15,827;521763;0;24;2
15,828;521764;0;174;2
15,829;521768;0;43;1
15,830;521890;0;4;2
15,831;522004;0;374;3
15,832;522252;0;14;1
15,833;522276;0;757;2
15,834;522282;1;233;1
15,835;522284;0;231;1
15,836;522292;0;3,032;1
15,837;522294;0;153;2
15,838;522295;0;160;2
15,839;522324;0;136;2
15,840;522338;0;133;2
15,841;522339;0;145;1
15,842;522353;0;8;2
15,843;522355;0;752;3
15,844;522371;0;58;4
15,845;522378;0;10;2
15,846;522394;0;120;2
15,847;522396;0;2;2
15,848;522418;0;2;4
15,849;522510;0;261;2
15,850;522519;0;7;2
15,851;522543;0;7;1
15,852;522619;0;600;2
15,853;522642;0;4;3
15,854;522661;0;521;1
15,855;522671;0;567;3
15,856;522687;0;64;3
15,857;522702;0;581;2
15,858;522798;0;1,318;2
15,859;522808;0;307;2
15,860;522818;0;327;2
15,861;522846;0;1,452;5
15,862;522861;0;75;2
15,863;522862;0;327;2
15,864;522889;0;161;2
15,865;522932;0;624;2
15,866;522952;0;40;3
15,867;522988;0;49;2
15,868;522996;0;120;2
15,869;523016;0;47;2
15,870;523033;0;27;2
15,871;523126;1;2;2
15,872;523153;0;23;1
15,873;523180;0;272;1
15,874;523194;0;13;2
15,875;523253;0;406;4
15,876;523292;0;353;2
15,877;523383;0;436;4
15,878;523534;0;448;3
15,879;523607;0;2;2
15,880;523717;0;6;2
15,881;523737;0;16;2
15,882;523762;0;323;2
15,883;523777;0;223;2
15,884;523781;0;2,013;1
15,885;523783;0;103;4
15,886;523786;0;65;2
15,887;523808;0;583;2
15,888;523853;0;371;4
15,889;523858;0;981;1
15,890;523904;0;85;2
15,891;523927;0;22;1
15,892;523938;0;426;3
15,893;523956;0;160;1
15,894;523960;0;2;2
15,895;523963;0;3;2
15,896;523964;0;0;4
15,897;523996;0;180;3
15,898;524019;0;203;3
15,899;524036;0;345;2
15,900;524067;0;84;2
15,901;524077;0;49;2
15,902;524115;0;2,697;2
15,903;524124;0;8;2
15,904;524144;0;51;5
15,905;524201;0;123;5
15,906;524208;0;195;2
15,907;524253;0;140;2
15,908;524273;0;65;2
15,909;524280;0;684;2
15,910;524358;0;61;4
15,911;524386;0;8;1
15,912;524387;0;460;2
15,913;524392;0;51;2
15,914;524397;0;738;2
15,915;524410;0;114;4
15,916;524417;0;259;2
15,917;524429;0;17;2
15,918;524583;0;117;2
15,919;524600;0;1,127;4
15,920;524641;1;5,901;2
15,921;524699;0;5;1
15,922;524742;0;56;1
15,923;524814;0;452;2
15,924;524834;0;14;3
15,925;524864;0;93;1
15,926;524966;1;1,269;1
15,927;524972;1;455;1
15,928;525194;0;67;3
15,929;525207;0;349;3
15,930;525218;0;189;1
15,931;525224;0;4;2
15,932;525226;0;11;2
15,933;525237;0;95;1
15,934;525264;0;143;1
15,935;525270;0;15;2
15,936;525271;0;77;2
15,937;525284;0;34;2
15,938;525289;0;40;2
15,939;525311;0;24;2
15,940;525314;0;5;1
15,941;525326;0;28;2
15,942;525327;0;338;3
15,943;525356;0;270;1
15,944;525366;0;50;1
15,945;525370;0;8;2
15,946;525374;0;290;2
15,947;525391;0;226;2
15,948;525395;0;2;1
15,949;525396;0;18;1
15,950;525430;0;777;1
15,951;525439;0;4;2
15,952;525447;0;1;2
15,953;525460;0;150;2
15,954;525472;0;65;3
15,955;525495;0;24;2
15,956;525513;0;26;3
15,957;525528;0;748;8
15,958;525589;0;9;2
15,959;525594;0;122;2
15,960;525603;0;55;1
15,961;525625;0;15;3
15,962;525626;0;4;2
15,963;525635;0;302;4
15,964;525643;0;197;2
15,965;525647;0;462;3
15,966;525687;0;88;2
15,967;525693;0;2;3
15,968;525700;0;21;3
15,969;525701;0;2;1
15,970;525705;0;70;2
15,971;525740;0;192;1
15,972;525751;0;3,182;2
15,973;525753;0;970;2
15,974;525838;0;20;3
15,975;525929;0;59;1
15,976;525999;0;167;2
15,977;526079;0;106;2
15,978;526136;0;43;3
15,979;526141;0;268;3
15,980;526142;0;426;1
15,981;526277;0;2;3
15,982;526278;0;8;2
15,983;526284;0;11;2
15,984;526285;0;2;2
15,985;526289;0;5;2
15,986;526290;0;31;2
15,987;526292;0;4,491;2
15,988;526293;0;244;2
15,989;526297;0;23;4
15,990;526304;0;33;3
15,991;526309;0;5,860;2
15,992;526327;0;40;1
15,993;526330;0;72;2
15,994;526332;0;13;2
15,995;526333;0;2;2
15,996;526338;0;70;2
15,997;526341;0;1,700;2
15,998;526342;0;17;2
15,999;526343;0;2;3
16,000;526345;0;100;2
16,001;526346;0;311;2
16,002;526348;0;116;2
16,003;526350;0;9;2
16,004;526353;0;1;2
16,005;526363;0;2;2
16,006;526364;0;46;3
16,007;526371;0;2;2
16,008;526375;0;160;1
16,009;526395;0;160;2
16,010;526398;0;4;2
16,011;526404;0;2;2
16,012;526409;0;7;2
16,013;526417;0;10;1
16,014;526421;0;46;3
16,015;526452;0;297;2
16,016;526455;0;6;2
16,017;526459;0;4;1
16,018;526469;0;10;1
16,019;526478;0;856;2
16,020;526488;0;17;2
16,021;526493;0;137;2
16,022;526507;0;281;1
16,023;526654;1;520;1
16,024;526668;1;8;1
16,025;526669;1;2;1
16,026;526687;0;158;2
16,027;526695;1;64;1
16,028;526726;0;105;1
16,029;526790;0;258;1
16,030;526797;0;1;1
16,031;526839;0;213;4
16,032;526853;0;69;1
16,033;526888;0;3,911;14
16,034;527024;0;772;1
16,035;527239;0;296;1
16,036;527243;0;36;1
16,037;527256;0;400;1
16,038;527271;0;2,121;1
16,039;527275;0;33;3
16,040;527286;0;563;2
16,041;527292;0;54;1
16,042;527296;0;715;1
16,043;527298;0;37;1
16,044;527299;0;4,137;1
