ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
118;1001790;1;0;1
119;1001820;0;97;2
120;1001821;0;2;4
121;1001831;0;262;15
122;1001842;0;83;1
123;1001847;0;52;2
124;1001853;0;33;2
125;1001862;0;0;1
126;1001865;0;11;4
127;1001883;0;2;1
128;1001888;1;533;7
129;1001917;0;6;1
130;1001922;0;3;1
131;1001948;0;1,432;7
132;1001953;0;91;2
133;1001966;0;106;3
134;1001973;0;44;1
135;1001997;0;154;1
136;1002007;1;26;2
137;1002012;0;518;3
138;1002014;0;142;2
139;1002022;0;162;2
140;1002023;0;2;3
141;1002044;0;132;2
142;1002052;0;1;1
143;1002071;0;2;1
144;1002079;0;0;1
145;1002107;1;7;1
146;1002119;0;7;1
147;1002128;0;22;4
148;1002130;0;25;2
149;1002161;0;8;1
150;1002168;0;180;5
151;1002178;0;256;1
152;1002190;0;3;1
153;1002209;0;0;1
154;1002223;0;18;1
155;1002239;0;131;2
156;1002307;1;30;1
157;1002328;0;224;2
158;1002332;0;68;2
159;1002347;0;3;7
160;1002349;0;22;2
161;1002352;0;35;1
162;1002368;0;427;4
163;1002385;0;181;1
164;1002386;0;58;3
165;1002393;0;2;1
166;1002440;0;9;2
167;1002444;0;44;1
168;1002476;0;11;1
169;1002497;0;96;3
170;1002499;0;26;4
171;1002501;0;44;1
172;1002502;0;1,458;4
173;1002518;0;146;1
174;1002539;0;60;2
175;1002546;1;326;1
176;1002568;1;0;1
177;1002593;0;0;1
178;1002594;0;15;1
179;1002597;0;326;1
180;1002618;0;44;1
181;1002623;0;52;4
182;1002641;0;24;1
183;1002649;0;13;5
184;1002674;1;14;1
185;1002691;0;28;2
186;1002693;0;5;1
187;1002698;0;26;3
188;1002700;0;2;3
189;1002712;0;6;2
190;1002715;0;6;1
191;1002716;0;7;2
192;1002721;0;29;3
193;1002732;0;14;1
194;1002737;0;2;1
195;1002741;0;7;1
196;1002785;0;60;2
197;1002812;0;199;2
198;1002826;0;123;1
199;1002875;1;0;3
200;1002886;0;66;1
201;1002895;0;12;1
202;1002925;0;59;2
203;1002934;0;58;4
204;1002936;0;8;1
205;1002954;1;0;2
206;1002958;1;0;1
207;1002959;1;0;1
208;1003043;0;44;5
209;1003044;0;11;1
210;1003052;0;32;4
211;1003060;0;35;1
212;1003061;0;30;1
213;1003087;0;10;1
214;1003094;0;101;2
215;1003163;1;4;3
216;1003213;0;52;1
217;1003214;0;4;1
218;1003237;0;3;2
219;1003245;0;4;1
220;1003250;0;3;2
221;1003274;0;192;2
222;1003343;1;0;1
223;1003345;1;0;1
224;1003354;1;0;1
225;1003378;0;27;5
226;1003381;0;105;1
227;1003612;0;111;4
228;1003614;0;24;2
229;1003635;0;0;1
230;1003639;1;0;1
231;1003643;0;5;1
232;1003644;0;0;1
233;1003649;1;0;1
234;1003655;1;0;1
235;1003656;1;0;1
236;1003671;0;8;1
237;1003672;1;0;1
238;1003678;1;4;2
239;1003680;1;0;1
240;1003682;0;0;2
241;1003683;0;94;5
242;1003695;0;9;3
243;1003696;0;9;7
244;1003708;1;2;1
245;1003711;1;644;2
246;1003712;1;2;1
247;1003717;0;92;7
248;1003720;0;26;2
249;1003722;1;0;3
250;1003724;0;644;1
251;1003725;1;22;1
252;1003727;1;26;1
253;1003729;1;0;1
254;1003731;0;5;2
255;1003735;0;0;1
256;1003798;1;0;1
257;1003828;0;89;1
258;1003851;1;1;1
259;1003855;0;4;1
260;1003856;0;2;1
261;1003857;0;449;1
262;1003858;0;572;1
263;1003859;0;193;2
264;1003860;0;12;2
265;1003861;0;89;2
266;1003862;0;233;2
267;1003863;0;64;2
268;1003864;0;177;2
269;1003865;0;66;2
270;1003866;0;9;2
271;1003867;0;141;2
272;1003868;0;42;2
273;1003869;0;157;2
274;1003870;0;281;3
275;1003871;0;162;3
276;1003872;0;57;3
277;1003873;0;517;3
278;1003874;0;2;3
279;1003875;0;30;3
280;1003876;0;28;3
281;1003877;0;2;3
282;1003878;0;15;3
283;1003879;0;26;3
284;1003880;0;26;3
285;1003881;0;2;3
286;1003882;0;3;3
287;1003891;0;4;1
288;1003900;0;2;1
289;1003902;0;22;1
290;1003903;1;39;2
291;1003906;0;2;1
292;1003914;0;60;5
293;1003915;0;184;2
294;1003928;1;1;1
295;1003930;0;28;3
296;1003934;0;0;2
297;1003935;0;0;2
298;1003940;1;0;1
299;1003947;0;1,082;4
300;1003956;0;123;1
301;1003961;0;13;1
302;1003963;0;5;3
303;1003964;0;22;1
304;1003977;0;6;1
305;1003978;0;8;2
306;1003986;1;5;1
307;1003988;0;8;2
308;1003991;0;165;6
309;1003996;0;66;3
310;1003997;0;0;1
311;1004004;0;26;1
312;1004005;0;26;1
313;1004007;1;8;1
314;1004009;1;13;1
315;1004019;0;0;1
316;1004030;0;11;4
317;1004033;0;60;3
318;1004056;0;54;1
319;1004058;1;2;1
320;1004060;1;2;1
321;1004073;1;77;7
322;1004080;0;10;1
323;1004082;0;156;5
324;1004083;1;2;1
325;1004085;1;2;1
326;1004090;0;31;2
327;1004093;0;27;1
328;1004094;1;4;1
329;1004097;1;156;1
330;1004098;0;2;1
331;1004099;1;0;1
332;1004100;1;2;1
333;1004101;1;0;4
334;1004102;0;11;3
335;1004103;0;51;2
336;1004106;1;2;1
337;1004107;1;2;1
338;1004109;0;2;1
339;1004110;0;421;18
340;1004111;0;2;1
341;1004112;1;2;1
342;1004117;1;24;1
343;1004118;1;1;1
344;1004119;0;12;2
345;1004123;1;0;1
346;1004134;0;226;3
347;1004151;1;0;1
348;1004152;1;0;1
349;1004160;0;44;4
