ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
20,118;873664;0;2;1
20,119;873680;0;12;1
20,120;873699;0;0;1
20,121;873711;0;2;2
20,122;873744;0;10;1
20,123;873746;0;9;3
20,124;873761;0;43;1
20,125;873779;0;19;2
20,126;873869;1;6;2
20,127;873887;0;2;3
20,128;873901;0;0;1
20,129;873961;0;37;8
20,130;873972;1;0;1
20,131;874093;0;71;2
20,132;874108;0;0;1
20,133;874121;0;9;1
20,134;874128;1;2;1
20,135;874145;1;2;1
20,136;874242;0;8;2
20,137;874251;0;70;2
20,138;874313;0;9;2
20,139;874352;0;33;4
20,140;874362;0;17;3
20,141;874388;0;2;1
20,142;874540;0;64;5
20,143;874555;0;1;1
20,144;874556;1;24;1
20,145;874646;0;2;1
20,146;874647;0;2;1
20,147;874648;0;1,290;1
20,148;874649;0;284;1
20,149;874650;0;278;1
20,150;874673;0;7,537;1
20,151;874687;0;6;1
20,152;874711;0;0;1
20,153;874754;0;2;1
20,154;874762;0;82;3
20,155;874801;1;0;1
20,156;874858;0;35;2
20,157;874890;0;48;3
20,158;874917;0;0;1
20,159;875094;0;19;1
20,160;875244;0;5;2
20,161;879348;1;9;1
20,162;882604;1;33;2
20,163;887510;1;266;1
20,164;887999;1;851;8
20,165;893094;1;9;4
20,166;894160;1;123;1
20,167;895270;0;98;18
20,168;896630;1;196;1
20,169;902476;1;176;11
20,170;904030;0;741;17
20,171;905257;1;230;5
20,172;907101;0;1,075;18
20,173;907459;0;725;22
20,174;908396;0;58;5
20,175;908407;0;36;12
20,176;908641;0;2;5
20,177;908783;0;140;15
20,178;908797;0;19;3
20,179;909254;0;1,033;20
20,180;909337;0;28;9
20,181;909821;0;132;9
20,182;911095;1;94;1
20,183;911223;1;372;27
20,184;911276;1;21;4
20,185;911339;1;135;11
20,186;911350;0;1,932;11
20,187;911461;0;46;8
20,188;911480;0;7;4
20,189;911482;0;84;4
20,190;911484;0;93;9
20,191;911505;0;147;9
20,192;911536;0;70;18
20,193;911699;0;266;6
20,194;911742;0;115;9
20,195;911890;0;456;5
20,196;911985;1;0;1
20,197;912018;0;83;3
20,198;912044;0;15;7
20,199;912126;1;0;1
20,200;912129;1;0;2
20,201;912177;0;48;12
20,202;912239;1;0;2
20,203;912267;0;8;2
20,204;912307;0;51;2
20,205;912348;0;8,062;9
20,206;912412;0;34;2
20,207;912427;0;80;6
20,208;912467;0;150;2
20,209;912497;1;20;3
20,210;912565;0;2,812;7
20,211;912632;0;300;3
20,212;912687;1;18;4
20,213;912704;1;0;1
20,214;912724;0;166;3
20,215;912760;0;96;4
20,216;912810;0;523;4
20,217;912861;0;35;11
20,218;912872;0;430;2
20,219;912921;1;6;1
20,220;912930;0;155;3
20,221;912956;1;122;1
20,222;913001;1;40;2
20,223;913064;1;505;4
20,224;913089;0;17;5
20,225;913107;0;8;2
20,226;913114;0;9;2
20,227;913120;0;6;5
20,228;913128;0;6;5
20,229;913169;1;26;2
20,230;913181;0;9;5
20,231;913183;0;55;3
20,232;913184;0;2;4
20,233;913201;0;14;2
20,234;913202;0;76;2
20,235;913204;0;6;3
20,236;913219;0;48;2
20,237;913221;0;58;4
20,238;913232;0;7;2
20,239;913233;0;6;2
20,240;913234;0;10;2
20,241;913240;0;0;1
20,242;913246;0;6;1
