subBranch,Date,category,mergeSum,finalMerge
workstream_lumira,Jul 13, 2015,t,5,0
workstream_modeling,Jul 13, 2015,t,0,0
vertical/allocation,Jul 14, 2015,t,0,0
workstream_dmem,Jul 14, 2015,t,0,0
workstream_infrastructure,Jul 14, 2015,t,0,0
workstream_lumira,Jul 14, 2015,t,0,0
workstream_modeling,Jul 14, 2015,t,0,0
vertical/allocation,Jul 15, 2015,t,0,0
workstream_apdkpi,Jul 15, 2015,t,6,6
workstream_infrastructure,Jul 15, 2015,t,0,0
workstream_kpicharts,Jul 15, 2015,t,12,0
workstream_modeling,Jul 15, 2015,t,0,0
vertical/allocation,Jul 16, 2015,t,0,0
workstream_apdkpi,Jul 16, 2015,t,2,0
workstream_dmem,Jul 16, 2015,t,309,695,1,151
workstream_infrastructure,Jul 16, 2015,t,1,132,0
workstream_modeling,Jul 16, 2015,t,0,0
workstream_apdkpi,Jul 17, 2015,t,2,2
workstream_dmem,Jul 17, 2015,t,0,0
workstream_infrastructure,Jul 17, 2015,t,0,0
workstream_kpicharts,Jul 17, 2015,t,2,0
workstream_lumira,Jul 17, 2015,t,381,0
workstream_modeling,Jul 17, 2015,t,0,0
workstream_dmem,Jul 18, 2015,t,0,0
workstream_lumira,Jul 18, 2015,t,0,0
workstream_apdkpi,Jul 19, 2015,t,410,4
workstream_dmem,Jul 19, 2015,t,16,0
workstream_modeling,Jul 19, 2015,t,0,0
vertical/allocation,Jul 20, 2015,t,11,0
workstream_dmem,Jul 20, 2015,t,0,0
workstream_infrastructure,Jul 20, 2015,t,0,0
workstream_kpicharts,Jul 20, 2015,t,0,0
workstream_modeling,Jul 20, 2015,t,1,1
vertical/devinfra,Jul 21, 2015,t,175,0
vertical/allocation,Jul 22, 2015,t,4,0
workstream_apdkpi,Jul 22, 2015,t,0,0
workstream_infrastructure,Jul 22, 2015,t,0,0
workstream_lumira,Jul 22, 2015,t,4,0
workstream_modeling,Jul 22, 2015,t,0,0
vertical/allocation,Jul 23, 2015,t,2,0
workstream_infrastructure,Jul 23, 2015,t,0,0
workstream_kpicharts,Jul 23, 2015,t,0,0
workstream_lumira,Jul 23, 2015,t,0,0
vertical/allocation,Jul 24, 2015,t,0,0
workstream_apdkpi,Jul 24, 2015,t,3,0
workstream_infrastructure,Jul 24, 2015,t,433,4
workstream_modeling,Jul 24, 2015,t,2,0
workstream_dmem,Jul 26, 2015,t,68,68
vertical/allocation,Jul 27, 2015,t,0,0
workstream_infrastructure,Jul 27, 2015,t,0,0
workstream_kpicharts,Jul 27, 2015,t,0,0
workstream_modeling,Jul 27, 2015,t,0,0
workstream_ux,Jul 27, 2015,t,11,344,0
vertical/allocation,Jul 28, 2015,t,0,0
workstream_apdkpi,Jul 28, 2015,t,0,0
workstream_modeling,Jul 28, 2015,t,0,0
workstream_ux,Jul 28, 2015,t,9,0
vertical/allocation,Jul 29, 2015,t,0,0
workstream_infrastructure,Jul 29, 2015,t,0,0
workstream_kpicharts,Jul 29, 2015,t,0,0
workstream_lumira,Jul 29, 2015,t,315,0
workstream_modeling,Jul 29, 2015,t,0,0
vertical/allocation,Jul 30, 2015,t,56,26
workstream_apdkpi,Jul 30, 2015,t,10,0
