subBranch;commitId;category;days;mergeSize;date;rate
vertical/allocation;1089429;t;1;81;Jul 27, 2015;81
integration;488835;b;1;81;May 19, 2014;81
vertical/allocation;1260916;t;1;81;Oct 27, 2015;81
vertical/allocation;1152177;t;3;81;Aug 30, 2015;27
integration;490234;b;1;81;May 20, 2014;81
vertical/boardroom;1180305;t;1;81;Sep 14, 2015;81
vertical/allocation;1201359;t;1;80;Sep 24, 2015;80
poc/google-drive;1106861;t;1;80;Aug 4, 2015;80
poc/google-drive;1106859;t;1;80;Aug 4, 2015;80
workstream_collaboration;1244431;t;2;80;Oct 19, 2015;40
vertical/boardroom;1219897;t;2;79;Oct 6, 2015;39.5
workstream_lumira_11;1201756;t;1;79;Sep 24, 2015;79
integration;502784;b;1;79;May 29, 2014;79
vertical/boardroom;1196217;t;1;79;Sep 22, 2015;79
vertical/boardroom;1255154;t;1;79;Oct 23, 2015;79
workstream_lumira_11;1190725;t;2;79;Sep 18, 2015;39.5
vertical/allocation;1207260;t;1;79;Sep 28, 2015;79
poc/boardroom_redefined;996286;t;1;79;Jun 23, 2015;79
workstream_lumira_11;1186257;t;1;79;Sep 16, 2015;79
poc/boardroom_svb;1219934;t;1;79;Oct 6, 2015;79
integration;498952;b;1;79;May 26, 2014;79
workstream_collaboration;1196630;t;1;79;Sep 22, 2015;79
workstream_lumira_bundles;962697;t;4;79;Jun 1, 2015;19.75
workstream_lumira_uviz;1168293;t;1;78;Sep 7, 2015;78
workstream_ux;1080013;t;1;78;Jul 22, 2015;78
poc/geospatial;986622;t;2;78;Jun 17, 2015;39
vertical/allocation;1012155;t;1;78;Jul 2, 2015;78
workstream_collaboration;1205725;t;2;78;Sep 28, 2015;39
poc/allocation1;989491;t;1;78;Jun 18, 2015;78
poc/boardroom_redefined;994170;t;1;78;Jun 22, 2015;78
workstream_lumira_11;1203254;t;1;78;Sep 25, 2015;78
poc/boardroom_redefined;1011637;t;1;78;Jul 2, 2015;78
vertical/allocation;986059;t;1;78;Jun 17, 2015;78
poc/data_acquisition;983649;t;1;78;Jun 16, 2015;78
workstream_collaboration;750028;b;2;78;Dec 24, 2014;39
vertical/allocation;1050639;t;1;78;Jul 20, 2015;78
workstream_apd;714610;b;1;78;Nov 26, 2014;78
vertical/boardroom;1209199;t;1;78;Sep 29, 2015;78
workstream_collaboration;861621;b;14;78;Mar 23, 2015;5.571428
vertical/allocation;1255253;t;1;77;Oct 23, 2015;77
poc/event_proc;1028229;t;1;77;Jul 12, 2015;77
poc/boardroom_svb;1217467;t;1;77;Oct 3, 2015;77
workstream_lumira_oneviz;953125;t;4;77;May 25, 2015;19.25
workstream_lumira_rb;1207346;t;1;77;Sep 28, 2015;77
vertical/boardroom;1216985;t;1;77;Oct 2, 2015;77
vertical/boardroom;1260318;t;1;77;Oct 27, 2015;77
vertical/allocation;1268752;t;1;77;Oct 30, 2015;77
vertical/allocation;959621;t;1;76;May 29, 2015;76
workstream_ux;1036828;t;1;76;Jul 16, 2015;76
integration;503722;b;1;76;May 29, 2014;76
vertical/licensing;1259040;t;1;76;Oct 26, 2015;76
integration;497947;b;1;76;May 26, 2014;76
vertical/devinfra;1080744;t;2;76;Jul 22, 2015;38
workstream_lumira_uviz;1173406;t;1;76;Sep 9, 2015;76
workstream_lumira_11;1200452;t;1;76;Sep 24, 2015;76
workstream_ux;1075727;t;1;76;Jul 21, 2015;76
vertical/boardroom;1182925;t;1;76;Sep 15, 2015;76
vertical/allocation;985890;t;2;76;Jun 17, 2015;38
vertical/allocation;1212715;t;1;75;Sep 30, 2015;75
vertical/boardroom;1215241;t;1;75;Oct 1, 2015;75
workstream_collaboration;1210782;t;1;75;Sep 29, 2015;75
workstream_apd;712565;b;1;75;Nov 25, 2014;75
poc/wrangling;1153084;t;1;75;Aug 31, 2015;75
xc_incremental;1172095;t;2;75;Sep 9, 2015;37.5
vertical/devinfra;1202330;t;3;75;Sep 24, 2015;25
poc/colgate;994856;t;3;75;Jun 22, 2015;25
vertical/allocation;1126404;t;1;75;Aug 14, 2015;75
vertical/allocation;1226305;t;1;75;Oct 8, 2015;75
integration;491886;b;1;75;May 20, 2014;75
vertical/licensing;1253621;t;1;75;Oct 22, 2015;75
poc/boardroom_redefined;1011304;t;1;75;Jul 1, 2015;75
xc_incremental;1169303;t;1;75;Sep 8, 2015;75
integration;497722;b;2;74;May 26, 2014;37
workstream_collaboration;868443;b;1;74;Mar 25, 2015;74
integration;495736;b;1;74;May 22, 2014;74
vertical/allocation;1082884;t;1;74;Jul 23, 2015;74
workstream_collaboration;1184686;t;1;74;Sep 16, 2015;74
vertical/allocation;1247540;t;1;74;Oct 20, 2015;74
integration;493763;b;1;73;May 21, 2014;73
workstream_collaboration;749837;b;1;73;Dec 23, 2014;73
integration;494981;b;1;73;May 22, 2014;73
poc/wrangling;1163517;t;2;73;Sep 4, 2015;36.5
poc/rptfcst;1000381;t;2;73;Jun 25, 2015;36.5
integration;502734;b;1;73;May 28, 2014;73
vertical/allocation;1245315;t;1;73;Oct 19, 2015;73
integration;495127;b;1;73;May 22, 2014;73
poc/boardroom_redefined;1012604;t;1;72;Jul 2, 2015;72
vertical/boardroom;1193266;t;1;72;Sep 21, 2015;72
vertical/allocation;964558;t;1;72;Jun 2, 2015;72
vertical/allocation;959519;t;1;72;May 28, 2015;72
workstream_ux;867565;b;6;72;Mar 25, 2015;12
vertical/boardroom;1183153;t;1;72;Sep 15, 2015;72
vertical/allocation;1220087;t;2;72;Oct 6, 2015;36
vertical/allocation;1046776;t;1;72;Jul 20, 2015;72
workstream_qa;751387;b;1;71;Dec 27, 2014;71
integration;495647;b;1;71;May 22, 2014;71
vertical/boardroom;1174936;t;1;71;Sep 10, 2015;71
workstream_lumira_11;1199193;t;1;71;Sep 23, 2015;71
vertical/allocation;996441;t;1;71;Jun 23, 2015;71
vertical/allocation;1081928;t;1;71;Jul 23, 2015;71
workstream_collaboration;864247;b;1;71;Mar 24, 2015;71
vertical/boardroom;1257556;t;1;71;Oct 26, 2015;71
integration;491720;b;1;71;May 20, 2014;71
workstream_apd;715110;b;1;71;Nov 27, 2014;71
poc/boardroom_redefined;995732;t;1;71;Jun 23, 2015;71
vertical/allocation;1029019;t;1;71;Jul 13, 2015;71
vertical/allocation;1031175;t;1;71;Jul 14, 2015;71
workstream_collaboration;1202910;t;2;71;Sep 25, 2015;35.5
integration;493766;b;1;71;May 21, 2014;71
poc/boardroom_redefined;995750;t;1;71;Jun 23, 2015;71
workstream_collaboration;1155300;t;2;71;Sep 1, 2015;35.5
workstream_apd;715096;b;2;71;Nov 27, 2014;35.5
workstream_lumira_5.1;980623;t;1;70;Jun 12, 2015;70
workstream_collaboration;874251;b;1;70;Mar 30, 2015;70
workstream_apd;712562;b;1;70;Nov 25, 2014;70
poc/geospatial;996652;t;1;70;Jun 23, 2015;70
poc/usagetracking;828774;b;1;70;Feb 26, 2015;70
workstream_collaboration;1129384;t;1;70;Aug 17, 2015;70
vertical/allocation;1270996;t;1;70;Nov 2, 2015;70
workstream_ux;1181573;t;2;70;Sep 15, 2015;35
poc/event_proc;1038980;t;2;70;Jul 17, 2015;35
integration;491101;b;1;70;May 20, 2014;70
workstream_collaboration;1176044;t;1;70;Sep 10, 2015;70
integration;502659;b;1;70;May 28, 2014;70
poc/geospatial;996605;t;2;70;Jun 23, 2015;35
vertical/boardroom;1180409;t;1;70;Sep 14, 2015;70
workstream_qa;751948;b;2;69;Dec 29, 2014;34.5
workstream_lumira_11;1201021;t;1;69;Sep 24, 2015;69
workstream_collaboration;783807;b;2;69;Jan 26, 2015;34.5
refs/meta/config;967115;t;1;69;Jun 3, 2015;69
workstream_collaboration;1262225;t;1;69;Oct 28, 2015;69
poc/boardroom_svb;1214453;t;1;69;Oct 1, 2015;69
integration;494549;b;1;69;May 22, 2014;69
poc/wrangling;1122400;t;1;69;Aug 12, 2015;69
collaboration;713004;b;2;69;Nov 26, 2014;34.5
vertical/allocation;1008104;t;1;69;Jun 30, 2015;69
integration;502871;b;1;69;May 29, 2014;69
vertical/boardroom;1195487;t;1;69;Sep 22, 2015;69
poc/wrangling;1163782;t;1;68;Sep 4, 2015;68
vertical/boardroom;1250198;t;1;68;Oct 21, 2015;68
poc/google-drive;1114556;t;2;68;Aug 7, 2015;34
workstream_lumira_11;1204890;t;2;68;Sep 26, 2015;34
vertical/boardroom;1201934;t;1;68;Sep 24, 2015;68
integration;491930;b;1;68;May 21, 2014;68
vertical/allocation;1140426;t;3;68;Aug 24, 2015;22.666666
workstream_qa;751516;b;2;68;Dec 28, 2014;34
